EMPLOYER_NAME,target,value,source,pay,index,odd
APPLE INC.,Apple,1,SANTA CLARA COUNTY,155000,668,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,155000,670,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,155000,672,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,155000,674,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,155000,676,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,156000,678,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,140150,680,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,160000,682,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,160000,684,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,160000,686,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,160000,688,0
