EMPLOYER_NAME,target,value,source,pay,index,odd
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,131269,277,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,110157,279,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,110157,281,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,115253,283,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,106470.5,285,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,127176.5,287,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,141269,289,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,143099.5,291,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,131269,293,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,116272,295,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,85987,297,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,100000,299,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,130055,301,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000,303,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145000,305,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,152776,307,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,104000,309,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,116774,311,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,115000,313,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000,315,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,132000,317,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,137500,319,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,110000,321,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,126547,323,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,163483,325,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000,327,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000,329,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,109762,331,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,100000,333,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000,335,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,130000,337,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,78208,339,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,150000,341,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,127901,343,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,127275,345,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,135000,347,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,85323,349,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,152663,351,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,183872,353,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,117810,355,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145600,357,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145132,359,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,179435,361,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145000,363,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,129600,365,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000,367,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,120349,369,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,120349,371,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,132223,373,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,146309,375,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,128785,377,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,95000,379,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,166752.66,381,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SAN FRANCISCO COUNTY,109408,383,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SAN FRANCISCO COUNTY,149490,385,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SAN FRANCISCO COUNTY,109408,387,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SAN FRANCISCO COUNTY,117229,389,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,178825.5,391,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,140000,393,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,104541,395,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,121409,397,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,126280,399,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,107268,401,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,109762,403,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,108680,405,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,109935,407,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,109240,409,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,114250,411,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,150000,413,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,140000,415,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,107054,417,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,145000,419,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,139000,421,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SAN FRANCISCO COUNTY,125000,423,0
APPLE INC,Apple,1,SANTA CLARA COUNTY,131826.5,425,0
APPLE INC,Apple,1,SANTA CLARA COUNTY,131826.5,427,0
APPLE INC,Apple,1,SANTA CLARA COUNTY,159619,429,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,83824,431,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,94120,433,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,88254,435,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,134410,437,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,99466,439,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,74006,441,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,132038,443,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,117187,445,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,63856,447,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,71032,449,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,69784,451,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,154107,453,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,109470,455,0
APPLE INC.,Apple,150,SANTA CLARA COUNTY,132038,457,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,212514,459,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,138320,461,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,77605,463,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,125965,465,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,67933,467,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,102606,469,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,83824,471,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,88254,473,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,98488,475,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,115253,477,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,134410,479,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,87942,481,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,66602,483,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,94598,485,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,91749,487,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,85322,489,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,104832,491,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,99466,493,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,109470,495,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,88962,497,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,148928,499,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,36046,501,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,63856,503,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,123053,505,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,49941,507,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,71365,509,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,172058,511,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,93870,513,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,123656,515,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,125965,517,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,87090,519,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,67933,521,0
APPLE INC.,Apple,50,SANTA CLARA COUNTY,93621,523,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,82877.6,525,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,67100,527,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,80000,529,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,91411,531,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,95000,533,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,99350,535,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,100000,537,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,102299,539,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,99677,541,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,101695,543,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,103200,545,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,105000,547,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,105000,549,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,109479,551,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,105000,553,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,105000,555,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,557,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,107299,559,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,561,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,111303,563,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,113258.5,565,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,567,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,569,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,571,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,573,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,575,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,577,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,579,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110000,581,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,111100,583,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,112000,585,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,110269,587,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,589,0
APPLE INC.,Apple,1,SANTA CLARA COUNTY,115000,591,0
